2026-07-21 19:01:08 [crafting] Esc pressed - exiting
2026-07-21 19:01:13 [crafting] Crafting started
2026-07-21 19:01:13 [crafting] Craft: waiting for start-craft marker
2026-07-21 19:01:13 [crafting] FindFilledBlock: found at 16,683 (33x33 0xFF0000 tol=5, 15 ms)
2026-07-21 19:01:13 [crafting] Craft: clicking start-craft marker at 16,683
2026-07-21 19:01:51 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 16 ms)
2026-07-21 19:01:51 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 15 ms)
2026-07-21 19:01:51 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 16 ms)
2026-07-21 19:01:51 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 15 ms)
2026-07-21 19:01:51 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 16 ms)
2026-07-21 19:01:52 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 15 ms)
2026-07-21 19:01:52 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 16 ms)
2026-07-21 19:01:52 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 15 ms)
2026-07-21 19:01:52 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 16 ms)
2026-07-21 19:01:52 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 15 ms)
2026-07-21 19:01:53 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 16 ms)
2026-07-21 19:01:53 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 15 ms)
2026-07-21 19:01:53 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 16 ms)
2026-07-21 19:01:53 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 15 ms)
2026-07-21 19:01:53 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 16 ms)
2026-07-21 19:01:54 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 15 ms)
2026-07-21 19:01:54 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 16 ms)
2026-07-21 19:01:54 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 15 ms)
2026-07-21 19:01:54 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 0 ms)
2026-07-21 19:01:54 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 15 ms)
2026-07-21 19:01:54 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 0 ms)
2026-07-21 19:01:55 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 0 ms)
2026-07-21 19:01:55 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 0 ms)
2026-07-21 19:01:55 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 0 ms)
2026-07-21 19:01:55 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 0 ms)
2026-07-21 19:01:55 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 0 ms)
2026-07-21 19:01:56 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 0 ms)
2026-07-21 19:01:56 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 15 ms)
2026-07-21 19:01:56 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 16 ms)
2026-07-21 19:01:56 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 15 ms)
2026-07-21 19:01:56 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 16 ms)
2026-07-21 19:01:56 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 15 ms)
2026-07-21 19:01:57 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 16 ms)
2026-07-21 19:01:57 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 15 ms)
2026-07-21 19:01:57 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 0 ms)
2026-07-21 19:01:57 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 0 ms)
2026-07-21 19:01:57 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 0 ms)
2026-07-21 19:01:58 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 0 ms)
2026-07-21 19:01:58 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 15 ms)
2026-07-21 19:01:58 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 16 ms)
2026-07-21 19:01:58 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 15 ms)
2026-07-21 19:01:58 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 16 ms)
2026-07-21 19:01:58 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 15 ms)
